,Country_x,Year,Total_Issued,Total_Not_Issued,Total,Acceptance_Rate,CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,Score2017,Property_Rights,Judical_Effectiveness,Government_Integrity,Tax_Burden,Gov_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_pct_GDP,Gov_Expenditure_pct_of_GDP,Country_y,Population_MM,GDP_Billions_PPP,GDP_Growth_Rate_,Five_Year_GDP_Growth_Rate,GDP_per_Capita_PPP,Unemployment,Inflation,FDI_Inflow_MM,Public_Debt_pct_GDP,Unnamed_34,Unnamed_35,Score2018
78,ECUADOR,2018,56074,11033,67107,0.8355909219604513,49.0,ECUADOR,Ecuador,Americas,165.0,28.0,,36.7,23.3,30.2,79.4,52.5,47.0,55.6,43.7,70.1,68.8,35.0,40.0,5.6,35.0,22.0,18.8,39.8,Ecuador,16.5,$183.6 ,0.0,2.5,"$11,108.6",5.4,1.7,744.0,29.2,,,48.5
79,EGYPT,2017,139074,30689,169763,0.8192244482013159,50.0,EGYPT,Egypt,Middle East / North Africa,144.0,12.0,52.6,35.4,56.3,32.7,86.1,63.0,4.6,66.8,51.3,69.6,70.2,55.0,40.0,7.4,25.0,25.0,11.9,33.4,Egypt,88.4,"$1,047.9 ",4.2,2.5,"$11,850",12.1,11.0,"6,885.0",87.7,,,
80,EGYPT,2018,148656,37891,186547,0.796882287037583,50.0,EGYPT,Egypt,Middle East / North Africa,139.0,11.0,,32.7,52.5,32.2,84.2,65.1,1.2,71.5,51.5,69.6,70.9,60.0,50.0,7.0,25.0,25.0,18.2,34.1,Egypt,90.2,"$1,132.4 ",4.2,3.4,"$12,553.9",12.0,10.2,"8,106.8",97.1,,,53.4
81,EQUATORIAL GUINEA,2017,12605,2341,14946,0.843369463401579,52.0,EQUATORIAL GUINEA,EquatorialGuinea,Sub-Saharan Africa,174.0,44.0,45.0,35.4,13.1,24.6,75.4,53.6,46.4,50.9,38.5,78.3,53.8,40.0,30.0,15.6,35.0,35.0,2.8,38.2,Equatorial Guinea,0.8,$25.4 ,-12.2,-2.3,"$31,758",9.4,3.2,316.2,20.1,,,
82,EQUATORIAL GUINEA,2018,10882,3231,14113,0.7710621412881741,52.0,EQUATORIAL GUINEA,EquatorialGuinea,Sub-Saharan Africa,175.0,45.0,,29.8,17.6,26.2,69.6,61.0,19.1,45.6,29.8,81.7,53.8,40.0,30.0,15.6,35.0,35.0,24.3,36.1,Equatorial Guinea,0.8,$31.7 ,-12.2,-2.8,"$38,639.1",7.3,1.4,54.0,21.7,,,42.0
83,ERITREA,2017,1218,1114,2332,0.5222984562607204,53.0,ERITREA,Eritrea,Sub-Saharan Africa,176.0,46.0,42.2,36.4,10.3,27.5,81.3,74.7,0.0,56.7,69.7,61.0,69.2,0.0,20.0,5.4,30.0,30.0,8.4,28.5,Eritrea,6.8,$8.7 ,4.8,5.7,"$1,297",8.4,9.0,49.3,127.1,,,
84,ERITREA,2018,1282,874,2156,0.5946196660482375,53.0,ERITREA,Eritrea,Sub-Saharan Africa,176.0,46.0,,35.5,13.8,23.4,79.9,75.6,0.0,56.7,65.7,60.9,69.2,0.0,20.0,5.4,30.0,30.0,14.4,28.5,Eritrea,6.5,$9.2 ,4.8,4.7,"$1,410.3",7.3,9.0,52.3,125.5,,,41.7
85,ETHIOPIA,2017,17103,3949,21052,0.8124168725061752,55.0,ETHIOPIA,Ethiopia,Sub-Saharan Africa,142.0,31.0,52.7,32.6,29.6,37.6,77.1,90.3,86.5,50.0,57.2,65.7,65.1,20.0,20.0,10.0,35.0,30.0,12.7,18.6,Ethiopia,93.0,$161.6 ,10.2,10.1,"$1,801",5.5,10.1,"2,167.6",48.6,,,
86,ETHIOPIA,2018,18404,4301,22705,0.8105703589517728,55.0,ETHIOPIA,Ethiopia,Sub-Saharan Africa,142.0,27.0,,31.1,37.6,37.7,76.5,90.6,85.5,40.2,51.3,67.1,60.7,35.0,20.0,12.1,35.0,30.0,15.1,17.7,Ethiopia,91.2,$177.5 ,10.2,9.5,"$1,945.9",5.7,7.3,"3,196.4",54.9,,,52.8
87,FIJI,2017,1133,15,1148,0.9869337979094077,56.0,FIJI,Fiji,Asia-Pacific,71.0,16.0,63.4,67.7,41.9,32.7,80.7,72.5,84.1,61.3,70.5,75.5,68.8,55.0,50.0,10.6,29.0,20.0,26.3,31.4,Fiji,0.9,$8.0 ,4.3,3.7,"$9,044",7.7,2.8,332.4,46.1,,,
88,FIJI,2018,2,1,3,0.6666666666666666,56.0,FIJI,Fiji,Asia-Pacific,84.0,19.0,,68.3,47.1,34.8,81.4,68.2,63.0,62.8,70.8,74.1,68.8,55.0,50.0,10.6,29.0,20.0,24.8,32.6,Fiji,0.9,$8.3 ,4.3,3.5,"$9,268.1",7.9,3.9,269.5,49.6,,,62.0
89,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,2017,10099,2145,12244,0.824812152891212,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
90,GABON,2017,16319,3009,19328,0.8443191225165563,59.0,GABON,Gabon,Sub-Saharan Africa,103.0,13.0,58.6,35.9,26.7,37.6,77.0,81.0,96.1,50.6,58.4,83.0,61.8,55.0,40.0,14.1,35.0,30.0,13.1,23.7,Gabon,1.6,$34.6 ,4.0,5.3,"$18,639",20.5,0.1,623.9,43.9,,,
91,GABON,2018,16883,5466,22349,0.7554252986710814,59.0,GABON,Gabon,Sub-Saharan Africa,109.0,13.0,,29.9,27.8,33.4,74.3,84.6,92.3,49.3,61.7,81.4,60.9,60.0,40.0,14.5,35.0,30.0,21.2,22.6,Gabon,1.9,$35.9 ,4.0,4.3,"$19,056.5",18.5,2.1,703.2,62.0,,,58.0
92,GEORGIA,2017,19157,4263,23420,0.8179760888129803,61.0,GEORGIA,Georgia,Europe,13.0,5.0,76.0,55.1,66.5,65.0,87.3,74.4,93.5,87.2,75.9,78.2,88.6,80.0,60.0,0.7,20.0,15.0,25.3,29.1,Georgia,4.5,$35.6 ,2.8,4.9,"$9,630",12.3,4.0,"1,350.2",41.2,,,
